"id";"nazev";"nazev_zkraceny";"zkratka";"typ_organizace";"oao";"months_to_publication";"published_accessibility"
3;"SmartGIS s.r.o.";"SmartGIS";"SG";10;"f";36;4
315732;"Archaia Příchovice [zaniklé]";"Archaia Příchovice [zaniklé]";"Archaia Příchovice [z]";11;"f";36;4
315733;"Archaia";"Archaia";"Archaia";11;"t";36;2
315734;"Archeologický ústav ČSAV, pobočka Most [zaniklé]";"Archeologický ústav Most [zaniklé]";"ARÚ Most [z]";13;"f";36;2
315735;"Archeologický ústav ČSAV, pobočka Plzeň [zaniklé]";"Archeologický ústav Plzeň [zaniklé]";"ARÚ Plzeň [z]";13;"f";36;2
315736;"Muzeum Bílina, detašované pracoviště Regionálního muzea v Teplicích [zaniklé]";"Muzeum Bílina [zaniklé]";"M Bílina [z]";3;"f";36;4
315744;"Archaia Brno, z.ú.";"Archaia Brno";"Archaia Brno";11;"t";36;4
315745;"Archaia Jih, o.p.s.";"Archaia Jih";"Archaia Jih";11;"t";36;2
315746;"Archaia Praha z.ú.";"Archaia Praha";"Archaia Praha";11;"t";36;2
315748;"Archeo Pro, o.p.s.";"Archeo Pro";"Archeo Pro";11;"t";36;4
315749;"ARCHEO Sever, o.p.s.";"ARCHEO Sever";"ARCHEO Sever";11;"t";36;2
315750;"ArcheoBohemia, o.p.s. [zaniklé]";"ArcheoBohemia [zaniklé]";"ArcheoBohemia [z]";11;"f";36;2
315751;"Archeocentrum – Institut pro archeologii a památkovou péči středních Čech, o. p. s.";"Archeocentrum";"Archeocentrum";11;"t";36;4
315752;"[archeolog mimo organizaci]";"[samostatný archeolog]";"[samostatný archeolog]";10;"f";36;4
315753;"Archeologická společnost, o.p.s.";"Archeologická společnost";"Archeologická společnost";11;"t";36;4
315754;"Archeologický ústav AV ČR, Brno, v.v.i.";"Archeologický ústav Brno";"ARÚ Brno";13;"t";36;2
315755;"Archeologický ústav AV ČR, Praha, v.v.i.";"Archeologický ústav Praha";"ARÚ Praha";13;"t";36;2
315756;"Archeos";"Archeos";"Archeos";11;"t";36;4
315757;"Česká společnost archeologická, o. p. s.";"Česká společnost archeologická";"ČSA";11;"t";36;2
315758;"České muzeum stříbra, p.o.";"Muzeum Kutná Hora";"M Kutná Hora";3;"t";36;4
315759;"Jihočeská univerzita v Českých Budějovicích - Filozofická fakulta";"JČU České Budějovice - Filozofická fakulta";"JČU České Budějovice - FF";4;"t";36;2
315760;"Masarykova univerzita - Filozofická fakulta";"MU Brno - Filozofická fakulta";"MU Brno - FF";4;"t";36;4
315761;"Univerzita Karlova - Filozofická fakulta";"UK Praha - Filozofická fakulta";"UK Praha - FF";4;"t";36;2
315763;"Geologický ústav AV ČR, v.v.i.";"Geologický ústav AVČR";"GÚ AVČR";13;"f";36;4
315764;"Hornické muzeum Příbram, p.o.";"Muzeum Příbram";"M Příbram";3;"t";36;4
315765;"Husitské muzeum v Táboře";"Muzeum Tábor";"M Tábor";3;"t";36;2
315766;"Jihočeské muzeum v Českých Budějovicích";"Muzeum České Budějovice";"M České Budějovice";3;"t";36;2
315767;"Univerzita Hradec Králové - Filozofická fakulta";"UHK - Filozofická fakulta";"UHK - FF";4;"t";36;2
315768;"Západočeská univerzita v Plzni - Filozofická fakulta";"ZČU Plzeň - Filozofická fakulta";"ZČU Plzeň - FF";4;"t";36;2
315769;"Správa Krkonošského národního parku - Krkonošské muzeum ve Vrchlabí";"Muzeum Vrchlabí";"M Vrchlabí";3;"t";36;4
315770;"Labrys, o.p.s.";"Labrys";"Labrys";11;"f";36;4
315771;"Městské muzeum a knihovna Čáslav";"Muzeum Čáslav";"M Čáslav";3;"f";36;4
315772;"Městské muzeum Mariánské Lázně";"Muzeum Mariánské Lázně";"M Mariánské Lázně";3;"f";36;4
315773;"Městské muzeum v Čelákovicích, p.o.";"Muzeum Čelákovice";"M Čelákovice";3;"t";36;2
315774;"Městské muzeum v Kralupech nad Vltavou";"Muzeum Kralupy n. Vlt.";"M Kralupy n. Vlt.";3;"f";36;4
315775;"Městské muzeum ve Stříbře, p.o.";"Muzeum Stříbro";"M Stříbro";3;"f";36;4
315776;"Milevské muzeum";"Muzeum Milevsko";"M Milevsko";3;"t";36;2
315777;"Muzeum Českého lesa v Tachově, p.o.";"Muzeum Tachov";"M Tachov";3;"t";36;2
315778;"Muzeum a galerie Orlických hor v Rychnově nad Kněžnou";"Muzeum Rychnov n. Kn.";"M Rychnov n. Kn.";3;"t";36;2
315779;"Muzeum a galerie severního Plzeňska v Mariánské Týnici, p.o.";"Muzeum Mariánská Týnice";"M Mariánská Týnice";3;"t";36;2
315780;"Muzeum Českého ráje v Turnově, p.o.";"Muzeum Turnov";"M Turnov";3;"t";36;2
315781;"Muzeum Českéhu krasu, p.o.";"Muzeum Beroun";"M Beroun";3;"t";36;4
